timestamp,service,latency_ms,http_code
2025-12-18 01:28:22,Gateway,18,200
2025-12-18 01:28:22,User Service,15,200
2025-12-18 01:28:22,Exchange Service,15,200
2025-12-18 01:28:22,user_create,17,200
2025-12-18 01:28:22,user_create,15,200
2025-12-18 01:28:22,user_create,15,200
2025-12-18 01:28:22,user_create,15,200
2025-12-18 01:28:22,user_create,15,200
2025-12-18 01:28:22,user_create,15,200
2025-12-18 01:28:22,user_create,15,200
2025-12-18 01:28:22,user_create,15,200
2025-12-18 01:28:22,user_create,17,200
2025-12-18 01:28:22,user_create,16,200
2025-12-18 01:28:23,task_create,33,200
2025-12-18 01:28:23,task_create,27,200
2025-12-18 01:28:23,task_create,27,200
2025-12-18 01:28:23,task_create,31,200
2025-12-18 01:28:23,task_create,26,200
2025-12-18 01:28:23,task_accept,26,200
2025-12-18 01:28:23,task_complete,26,200
2025-12-18 01:28:23,user_get_concurrent,27,200
2025-12-18 01:28:23,user_get_concurrent,37,200
2025-12-18 01:28:23,user_get_concurrent,26,200
2025-12-18 01:28:23,user_get_concurrent,36,200
2025-12-18 01:28:23,user_get_concurrent,38,200
2025-12-18 01:28:23,user_get_concurrent,22,200
2025-12-18 01:28:23,user_get_concurrent,24,200
2025-12-18 01:28:23,user_get_concurrent,49,200
2025-12-18 01:28:23,user_get_concurrent,38,200
2025-12-18 01:28:23,user_get_concurrent,36,200
2025-12-18 01:28:23,user_get_concurrent,64,200
2025-12-18 01:28:23,user_get_concurrent,36,200
2025-12-18 01:28:23,user_get_concurrent,67,200
2025-12-18 01:28:23,user_get_concurrent,59,200
2025-12-18 01:28:23,user_get_concurrent,55,200
2025-12-18 01:28:23,user_get_concurrent,60,200
2025-12-18 01:28:23,user_get_concurrent,50,200
2025-12-18 01:28:23,user_get_concurrent,46,200
2025-12-18 01:28:23,user_get_concurrent,45,200
2025-12-18 01:28:23,user_get_concurrent,55,200
2025-12-18 01:28:23,task_list_stress,24,200
2025-12-18 01:28:23,task_list_stress,32,200
2025-12-18 01:28:23,task_list_stress,48,200
2025-12-18 01:28:23,task_list_stress,59,200
2025-12-18 01:28:23,task_list_stress,69,200
2025-12-18 01:28:23,task_list_stress,94,200
2025-12-18 01:28:23,task_list_stress,81,200
2025-12-18 01:28:23,task_list_stress,106,200
2025-12-18 01:28:23,task_list_stress,115,200
2025-12-18 01:28:23,task_list_stress,127,200
2025-12-18 01:28:23,task_list_stress,23,200
2025-12-18 01:28:23,task_list_stress,32,200
2025-12-18 01:28:23,task_list_stress,44,200
2025-12-18 01:28:23,task_list_stress,56,200
2025-12-18 01:28:23,task_list_stress,67,200
2025-12-18 01:28:23,task_list_stress,80,200
2025-12-18 01:28:23,task_list_stress,91,200
2025-12-18 01:28:23,task_list_stress,103,200
2025-12-18 01:28:23,task_list_stress,113,200
2025-12-18 01:28:23,task_list_stress,126,200
2025-12-18 01:28:23,task_list_stress,24,200
2025-12-18 01:28:23,task_list_stress,32,200
2025-12-18 01:28:23,task_list_stress,45,200
2025-12-18 01:28:23,task_list_stress,57,200
2025-12-18 01:28:23,task_list_stress,84,200
2025-12-18 01:28:23,task_list_stress,67,200
2025-12-18 01:28:23,task_list_stress,96,200
2025-12-18 01:28:23,task_list_stress,108,200
2025-12-18 01:28:23,task_list_stress,118,200
2025-12-18 01:28:24,task_list_stress,130,200
2025-12-18 01:28:24,task_list_stress,26,200
2025-12-18 01:28:24,task_list_stress,37,200
2025-12-18 01:28:24,task_list_stress,49,200
2025-12-18 01:28:24,task_list_stress,62,200
2025-12-18 01:28:24,task_list_stress,76,200
2025-12-18 01:28:24,task_list_stress,99,200
2025-12-18 01:28:24,task_list_stress,87,200
2025-12-18 01:28:24,task_list_stress,112,200
2025-12-18 01:28:24,task_list_stress,127,200
2025-12-18 01:28:24,task_list_stress,143,200
2025-12-18 01:28:24,task_list_stress,26,200
2025-12-18 01:28:24,task_list_stress,40,200
2025-12-18 01:28:24,task_list_stress,52,200
2025-12-18 01:28:24,task_list_stress,62,200
2025-12-18 01:28:24,task_list_stress,74,200
2025-12-18 01:28:24,task_list_stress,85,200
2025-12-18 01:28:24,task_list_stress,112,200
2025-12-18 01:28:24,task_list_stress,97,200
2025-12-18 01:28:24,task_list_stress,126,200
2025-12-18 01:28:24,task_list_stress,137,200
